date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:43	99/99	---MCZ	200	added ('OK')	text/plain	etag:W/%228e-8pynGEzgHWVOiw2ssPrDzje+/rA%22	https://umbrella-network.readme.io/robots.txt		(from )
14:16:44	65/65	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2020%20Mar%202025%2017:16:43%20GMT	https://umbrella-network.readme.io/docs/	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/umbrella-network.readme.io/docs/index.html	(from )
14:16:44	150161/150161	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2017:16:43%20GMT	https://umbrella-network.readme.io/docs/getting-started-1	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/umbrella-network.readme.io/docs/getting-started-1.html	(from https://umbrella-network.readme.io/docs/)
14:16:44	593/593	---MCZ	200	added ('OK')	application/javascript	etag:W/%22251-195af0d1100%22	https://cdn.readme.io/public/js/force-firefox-anchor-jump.js?1742398788767	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/js/force-firefox-anchor-jumpd75c.js	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:45	1008/1008	---M--	200	added ('OK')	image/png	etag:%22ccc8364894be5ee7e4dae4fab55f7b28%22	https://files.readme.io/850c102-small-Favicon_128x128.png	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/files.readme.io/850c102-small-Favicon_128x128.png	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:45	16999/16999	---MCZ	200	added ('OK')	application/javascript	etag:W/%224267-195af0d0d18%22	https://cdn.readme.io/public/js/cash-dom.min.js?1742398788767	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/js/cash-dom.mind75c.js	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:45	16107/16107	---MCZ	200	added ('OK')	text/css	etag:W/%22b81-1958b0937c0%22	https://cdn.readme.io/public/hub/web/routes-Tutorials.7e7736cc7c5b0affc361.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/routes-Tutorials.7e7736cc7c5b0affc361.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:45	12268/12268	---MCZ	200	added ('OK')	text/css	etag:W/%228f1-1953a9ae6a8%22	https://cdn.readme.io/public/hub/web/New.b2c21b39a87b5c42c152.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/New.b2c21b39a87b5c42c152.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:46	12269/12269	---MCZ	200	added ('OK')	text/css	etag:W/%228ec-1953a9ae6a8%22	https://cdn.readme.io/public/hub/web/Page.b2c21b39a87b5c42c152.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/Page.b2c21b39a87b5c42c152.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
14:16:46	12103/12103	---MCZ	200	added ('OK')	text/css	etag:W/%229ce-19538a329a0%22	https://cdn.readme.io/public/hub/web/routes-Discuss.571e99fd5e02a59c06dd.css	C:/Users/Eugenio/Documents/UMB/UMB%20documentation/UMB%20documentation/cdn.readme.io/public/hub/web/routes-Discuss.571e99fd5e02a59c06dd.css	(from https://umbrella-network.readme.io/docs/getting-started-1)
